model,variant_label,grid_label,domain,metric,units,season,comparison,mean_difference,median_difference,paired_interannual_sd,standard_error,standardized_effect_size,minimum_difference,maximum_difference,year_count,fraction_positive,fraction_negative,fraction_zero,lag1_autocorrelation,ci_lower,ci_upper,interval_classification,zero_inside_interval,bootstrap_replicates,block_length_years
CNRM-ESM2-1,r1i1p1f2,gr,original_box,tasmax_mean,degC,SON,G6solar - SSP5-8.5,-1.4681048,-1.3741941,1.0535854,0.1923575,-1.3934368,-3.7331485,0.0019725,30,0.0333333,0.9666667,0.0000000,0.4943055,-2.0900518,-0.9154834,below_zero,False,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,original_box,tasmax_mean,degC,SON,G6sulfur - SSP5-8.5,-1.3978257,-1.1389481,1.1040757,0.2015757,-1.2660596,-4.0063308,0.5237549,30,0.0333333,0.9666667,0.0000000,0.3457430,-1.9524219,-0.9308928,below_zero,False,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,southeast_land,pr_mean,mm/day,ANN,G6solar - G6sulfur,0.0441308,0.0927631,0.4706704,0.0859323,0.0937615,-1.0610132,1.0894174,30,0.5666667,0.4333333,0.0000000,0.0506379,-0.0400311,0.1337714,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,southeast_land,pr_mean,mm/day,ANN,G6solar - SSP5-8.5,-0.0078761,-0.0616510,0.4332095,0.0790929,-0.0181808,-0.9147985,1.0122066,30,0.4666667,0.5333333,0.0000000,-0.0648679,-0.0996693,0.0849973,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,southeast_land,pr_mean,mm/day,ANN,G6sulfur - SSP5-8.5,-0.0520069,-0.0231771,0.5022877,0.0917048,-0.1035400,-1.2579977,1.0637452,30,0.5000000,0.5000000,0.0000000,0.0308994,-0.1639966,0.0533666,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,southeast_land,pr_mean,mm/day,DJF,G6solar - G6sulfur,0.0327829,-0.0726804,0.9074485,0.1685090,0.0361264,-1.5431842,1.4945347,29,0.4482759,0.5517241,0.0000000,0.0637756,-0.1632199,0.2571021,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,southeast_land,pr_mean,mm/day,DJF,G6solar - SSP5-8.5,0.1186949,-0.0014525,0.9500492,0.1764197,0.1249356,-1.4641275,2.3937564,29,0.4827586,0.5172414,0.0000000,-0.0191473,-0.1801171,0.4252444,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,southeast_land,pr_mean,mm/day,DJF,G6sulfur - SSP5-8.5,0.0859121,-0.0811653,0.8947016,0.1661419,0.0960231,-1.8644212,2.9487791,29,0.4482759,0.5517241,0.0000000,-0.2399984,-0.2176195,0.3752569,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,southeast_land,pr_mean,mm/day,JJA,G6solar - G6sulfur,0.2100905,0.0700061,0.7921183,0.1446204,0.2652262,-1.4788309,1.8080091,30,0.5666667,0.4333333,0.0000000,-0.0371690,-0.0286975,0.4216920,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,southeast_land,pr_mean,mm/day,JJA,G6solar - SSP5-8.5,-0.0962086,-0.0697560,0.8995757,0.1642393,-0.1069489,-1.6528718,1.8934689,30,0.4333333,0.5666667,0.0000000,0.0582092,-0.3980718,0.1759136,includes_zero,True,10000,5
