domain,season,metric,comparison,units,mean,median,std,minimum,maximum,model_count,positive_count,negative_count,zero_count,sign_agreement,represented_area_km2,contributing_cells_min,contributing_cells_max,equivalent_cells_min,equivalent_cells_max
gulf_coast,SON,pr_mean,G6solar - SSP5-8.5,mm/day,-0.2747366,-0.2943737,0.1515634,-0.4340194,-0.0761795,4,0,4,0,1.0000000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,SON,pr_mean,G6sulfur - SSP5-8.5,mm/day,-0.3269455,-0.3248127,0.2843785,-0.6742023,0.0160456,4,1,3,0,0.7500000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,SON,tasmax_mean,G6solar - G6sulfur,degC,-0.3200064,-0.3630095,0.2456358,-0.5665465,0.0125397,4,1,3,0,0.7500000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,SON,tasmax_mean,G6solar - SSP5-8.5,degC,-2.0393611,-1.9078771,0.6111078,-2.8847251,-1.4569653,4,0,4,0,1.0000000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,SON,tasmax_mean,G6sulfur - SSP5-8.5,degC,-1.7193547,-1.5431328,0.5948763,-2.5762287,-1.2149243,4,0,4,0,1.0000000,917554.3365086,46,73,24.8132905,44.0423603
lower_mississippi,ANN,pr_mean,G6solar - G6sulfur,mm/day,0.0290300,0.0298886,0.0957003,-0.0770625,0.1334054,4,2,2,0,0.5000000,489638.1034720,25,46,13.6281137,24.1814243
lower_mississippi,ANN,pr_mean,G6solar - SSP5-8.5,mm/day,-0.0903195,-0.0825010,0.0912302,-0.2084503,0.0121745,4,1,3,0,0.7500000,489638.1034720,25,46,13.6281137,24.1814243
lower_mississippi,ANN,pr_mean,G6sulfur - SSP5-8.5,mm/day,-0.1193495,-0.0847122,0.1672668,-0.3418557,0.0338820,4,1,3,0,0.7500000,489638.1034720,25,46,13.6281137,24.1814243
lower_mississippi,ANN,tasmax_mean,G6solar - G6sulfur,degC,-0.4343904,-0.3708697,0.3620909,-0.9216437,-0.0741782,4,0,4,0,1.0000000,489638.1034720,25,46,13.6281137,24.1814243
lower_mississippi,ANN,tasmax_mean,G6solar - SSP5-8.5,degC,-2.1293618,-2.0671846,0.5534029,-2.8296859,-1.5533923,4,0,4,0,1.0000000,489638.1034720,25,46,13.6281137,24.1814243
lower_mississippi,ANN,tasmax_mean,G6sulfur - SSP5-8.5,degC,-1.6949714,-1.6455893,0.6772309,-2.5539243,-0.9347830,4,0,4,0,1.0000000,489638.1034720,25,46,13.6281137,24.1814243
lower_mississippi,DJF,pr_mean,G6solar - G6sulfur,mm/day,-0.1324741,-0.0541410,0.1998444,-0.4278163,0.0062019,4,1,3,0,0.7500000,489638.1034720,25,46,13.6281137,24.1814243
lower_mississippi,DJF,pr_mean,G6solar - SSP5-8.5,mm/day,-0.2306328,-0.1768897,0.3737111,-0.6653566,0.0966049,4,2,2,0,0.5000000,489638.1034720,25,46,13.6281137,24.1814243
lower_mississippi,DJF,pr_mean,G6sulfur - SSP5-8.5,mm/day,-0.0981587,-0.0893129,0.2267277,-0.3414833,0.1274741,4,2,2,0,0.5000000,489638.1034720,25,46,13.6281137,24.1814243
lower_mississippi,DJF,tasmax_mean,G6solar - G6sulfur,degC,-0.6515739,-0.3953343,0.8464292,-1.8732289,0.0576018,4,1,3,0,0.7500000,489638.1034720,25,46,13.6281137,24.1814243
lower_mississippi,DJF,tasmax_mean,G6solar - SSP5-8.5,degC,-1.7740631,-1.8097664,0.5772720,-2.3623853,-1.1143342,4,0,4,0,1.0000000,489638.1034720,25,46,13.6281137,24.1814243
